iterations,0,1,2,3,4,5,6,7,8,9,10
6000,0.394428369,0.433664889,0.145578462,0.49298108,0.537545384,0.389989361,1.000501961,0.99363899,1.001511851,1.011140357,0.24613338
6001,0.394428369,0.433664889,0.145578462,0.49298108,0.537545384,0.389989361,1.000501961,0.99363899,1.001511851,1.011140357,0.24613338
6002,0.394428369,0.433664889,0.145578462,0.49298108,0.537545384,0.389989361,1.000501961,0.99363899,1.001511851,1.011140357,0.24613338
6003,0.395096034,0.433710177,0.144467361,0.492383635,0.53783404,0.387993933,0.999995301,0.995907679,1.002739854,1.008202561,0.248122323
6004,0.395903011,0.434500617,0.143032656,0.492372722,0.541054315,0.386417231,0.998002257,0.99414207,1.000124697,1.007208176,0.249062956
6005,0.396356019,0.435282056,0.142967686,0.494929837,0.540890465,0.390830804,1.001657557,0.993819056,0.999603708,1.007989701,0.251515466
6006,0.3967273,0.434205107,0.143091753,0.491541967,0.541517885,0.387111536,1.001102089,0.993222163,0.999249007,1.005912626,0.244220376
6007,0.395217253,0.434923246,0.147350127,0.489455026,0.542244845,0.386505345,1.002239119,0.991414817,0.99692959,1.001223832,0.238523021
6008,0.394732038,0.434760585,0.152357707,0.486621823,0.542066812,0.384598769,1.000906224,0.996442039,0.995387318,1.000467504,0.236740131
6009,0.394732038,0.434760585,0.152357707,0.486621823,0.542066812,0.384598769,1.000906224,0.996442039,0.995387318,1.000467504,0.236740131
6010,0.396231941,0.434909631,0.15269795,0.492440692,0.543222625,0.386168943,1.000171823,0.998274734,0.996859541,1.006701627,0.236658095
6011,0.396231941,0.434909631,0.15269795,0.492440692,0.543222625,0.386168943,1.000171823,0.998274734,0.996859541,1.006701627,0.236658095
6012,0.396231941,0.434909631,0.15269795,0.492440692,0.543222625,0.386168943,1.000171823,0.998274734,0.996859541,1.006701627,0.236658095
6013,0.395534339,0.433474173,0.148489187,0.490646503,0.543348817,0.385808662,0.999275654,1.00237534,0.998900594,1.003086287,0.239801953
6014,0.396989686,0.432472518,0.147689448,0.490623316,0.548826002,0.386056771,1.003498978,1.003046833,0.999032351,1.004474211,0.241109322
6015,0.396989686,0.432472518,0.147689448,0.490623316,0.548826002,0.386056771,1.003498978,1.003046833,0.999032351,1.004474211,0.241109322
6016,0.396989686,0.432472518,0.147689448,0.490623316,0.548826002,0.386056771,1.003498978,1.003046833,0.999032351,1.004474211,0.241109322
6017,0.395913299,0.431919519,0.14498201,0.492705692,0.548817901,0.387794424,1.004860935,0.997221054,1.001572774,1.003455199,0.241841014
6018,0.395997638,0.431825637,0.146454078,0.487998385,0.552649026,0.385855383,1.007525265,0.992448934,0.99768653,1.006067703,0.242153738
6019,0.397274681,0.43166235,0.148497531,0.486406095,0.550024943,0.387833458,1.007208162,0.991125125,0.998387093,1.005651035,0.243410586
6020,0.396046889,0.431198011,0.149478976,0.482327429,0.547220531,0.387589628,1.006434222,0.985801154,1.000304767,1.001505635,0.243107148
6021,0.396046889,0.431198011,0.149478976,0.482327429,0.547220531,0.387589628,1.006434222,0.985801154,1.000304767,1.001505635,0.243107148
6022,0.395895417,0.432118368,0.1526303,0.481383855,0.552095029,0.387054893,1.010305007,0.985556268,0.998570293,1.006003925,0.241817888
6023,0.395895417,0.432118368,0.1526303,0.481383855,0.552095029,0.387054893,1.010305007,0.985556268,0.998570293,1.006003925,0.241817888
6024,0.396983811,0.432513259,0.15127109,0.481487865,0.547125612,0.383941549,1.008195559,0.987998388,0.998976554,1.00772827,0.244372389
6025,0.396249758,0.432282724,0.153563198,0.479643709,0.546231499,0.384353673,1.006963087,0.989047089,0.997023208,1.012522442,0.247312857
6026,0.398122662,0.431302282,0.154243212,0.486106787,0.546335716,0.384370316,1.008469125,0.987859325,0.996603338,1.01521349,0.248547483
6027,0.398084659,0.431838283,0.153116566,0.486367554,0.545595251,0.384527868,1.006017463,0.988198435,0.998457649,1.015317942,0.24533563
6028,0.397880253,0.432979969,0.147375832,0.48448041,0.548501211,0.384045637,1.004769103,0.988997738,0.99719733,1.022009215,0.243093171
6029,0.397880253,0.432979969,0.147375832,0.48448041,0.548501211,0.384045637,1.004769103,0.988997738,0.99719733,1.022009215,0.243093171
6030,0.398415613,0.432656889,0.149892014,0.482505909,0.556461892,0.387306485,1.006690094,0.987647028,0.994784624,1.018030315,0.242986091
